"id","plot_field","subplot_field","spp","FullExpTrt","PlantGMTrt","ExpSoilSource","ExpFungSource","nmass","leaf_d15n","cmass","leaf_cn","leaf_d13c"
"43",5,9,"Tri","PlantW-SoilNW-FungWsterile","W","NW","Wsterile",0.04181,2.14,0.4179,0.100047858339316,-11.133
"86",5,9,"Tri","PlantW-SoilNW-FungW","W","NW","W",0.05227,1.093,0.3908,0.133751279426817,-27.988
"392",3,22,"Tri","PlantNW-SoilNW-FungNW","NW","NW","NW",0.039,1.104,0.3453,0.112945264986968,-26.999
"452",3,22,"Tri","PlantNW-SoilNW-FungNW","NW","NW","NW",0.03895,2.262,0.3386,0.115032486709982,27.833
"482",5,22,"Tri","PlantNW-SoilNW-FungNW","NW","NW","NW",0.04779,1.138,0.3896,0.122664271047228,-10.496
"552",3,14,"Tri","PlantW-SoilW-FungNW","W","W","NW",0.04555,1.702,0.405,0.112469135802469,-27.559
"583",3,23,"Tri","PlantNW-SoilNW-FungW","NW","NW","W",0.04474,2.405,0.3917,0.11422006637733,-22.984
"614",5,11,"Tri","PlantNW-SoilW-FungW","NW","W","W",0.05205,2.097,0.4569,0.113919894944189,48.719
"632",7,8,"Tri","PlantW-SoilW-FungW","W","W","W",0.04305,2.145,0.402,0.107089552238806,-22.809
"684",6,2,"Tri","PlantW-SoilNW-FungNW","W","NW","NW",0.06393,1.555,0.4036,0.158399405351833,-27.292
"762",6,2,"Tri","PlantW-SoilNW-FungNWsterile","W","NW","NWsterile",NA,NA,NA,NA,NA
"774",3,20,"Tri","PlantW-SoilNW-FungNW","W","NW","NW",0.03849,1.77,0.3974,0.0968545546049321,-4.761
"827",4,9,"Tri","PlantW-SoilNW-FungNW","W","NW","NW",0.06365,1.517,0.4063,0.156657642136352,-28.546
"902",3,7,"Tri","PlantW-SoilW-FungNW","W","W","NW",0.04426,2.507,0.3986,0.111038635223281,-0.107
"916",3,16,"Tri","PlantNW-SoilW-FungNWsterile","NW","W","NWsterile",0.0414,2.024,0.4147,0.0998312032794791,-3.991
"955",3,8,"Tri","PlantW-SoilNW-FungW","W","NW","W",0.04183,2.126,0.4056,0.103131163708087,52.684
"972",7,11,"Tri","PlantNW-SoilW-FungW","NW","W","W",0.04096,2.301,0.4149,0.0987225837551217,26.117
"978",6,6,"Tri","PlantNW-SoilNW-FungNW","NW","NW","NW",0.04663,0.752,0.3839,0.121463922896588,-10.3
"989",4,13,"Tri","PlantW-SoilW-FungNW","W","W","NW",0.04343,1.342,0.4096,0.1060302734375,-27.061
"1374",5,10,"Tri","PlantNW-SoilNW-FungW","NW","NW","W",0.04431,1.943,0.3992,0.110996993987976,-5.512
"1647",7,11,"Tri","PlantNW-SoilNW-FungW","NW","NW","W",0.04751,2.162,0.409,0.116161369193154,-26.05
"1666",3,27,"Tri","PlantW-SoilNW-FungW","W","NW","W",0.04355,2.497,0.3723,0.116975557346226,-25.398
"1669",7,11,"Tri","PlantNW-SoilNW-FungNW","NW","NW","NW",0.04354,1.156,0.4013,0.108497383503613,9.089
"1686",3,6,"Tri","PlantNW-SoilW-FungNW","NW","W","NW",0.04367,1.658,0.3958,0.11033350176857,-22.289
"1750",5,20,"Tri","PlantW-SoilW-FungW","W","W","W",0.04054,2.334,0.4186,0.0968466316292403,101.204
"1827",7,8,"Tri","PlantW-SoilNW-FungNW","W","NW","NW",0.04556,1.952,0.4144,0.109942084942085,90.774
"1851",7,8,"Tri","PlantW-SoilW-FungNW","W","W","NW",0.04391,1.081,0.394,0.111446700507614,9.234
"1926",3,5,"Tri","PlantNW-SoilW-FungW","NW","W","W",0.04319,2.84,0.4231,0.102079886551643,48.665
"1975",7,18,"Tri","PlantNW-SoilW-FungW","NW","W","W",0.03895,2.776,0.3967,0.098185026468364,70.293
"2074",6,16,"Tri","PlantNW-SoilNW-FungNW","NW","NW","NW",NA,NA,NA,NA,NA
"2131",7,11,"Tri","PlantNW-SoilW-FungW","NW","W","W",0.04558,1.727,0.4368,0.104349816849817,-20.512
"2276",6,22,"Tri","PlantNW-SoilW-FungWsterile","NW","W","Wsterile",0.04094,2.061,0.4093,0.100024431957,-21.583
"2289",7,11,"Tri","PlantNW-SoilW-FungNW","NW","W","NW",0.04167,1.102,0.3899,0.10687355732239,116.054
"2329",3,20,"Tri","PlantW-SoilW-FungW","W","W","W",0.04306,2.476,0.4099,0.105050012198097,-17.56
"2379",7,23,"Tri","PlantNW-SoilW-FungW","NW","W","W",0.04157,1.237,0.4005,0.103795255930087,-27.242
"2382",7,23,"Tri","PlantNW-SoilNW-FungNW","NW","NW","NW",0.05217,0.749,0.3905,0.13359795134443,-30.12
"2416",3,17,"Tri","PlantNW-SoilW-FungNWsterile","NW","W","NWsterile",0.05106,1.334,0.3866,0.13207449560269,-28.809
"2547",5,19,"Tri","PlantW-SoilNW-FungW","W","NW","W",0.04439,1.887,0.367,0.120953678474114,-26.782
"2563",5,16,"Tri","PlantNW-SoilNW-FungW","NW","NW","W",0.04674,1.68,0.3935,0.118780177890724,83.428
"2573",5,31,"Tri","PlantW-SoilNW-FungW","W","NW","W",0.04343,1.839,0.3929,0.110537032323746,-5.374
"2703",4,8,"Tri","PlantW-SoilNW-FungW","W","NW","W",0.03826,1.129,0.3839,0.0996613701484762,9.627
"2886",7,24,"Tri","PlantNW-SoilW-FungNW","NW","W","NW",NA,NA,NA,NA,NA
"2912",5,11,"Tri","PlantNW-SoilNW-FungWsterile","NW","NW","Wsterile",0.0457,1.808,0.4565,0.100109529025192,-27.514
"2927",7,14,"Tri","PlantW-SoilW-FungNW","W","W","NW",0.04482,1.989,0.351,0.127692307692308,-20.12
"2941",6,6,"Tri","PlantNW-SoilW-FungW","NW","W","W",0.045,1.167,0.4146,0.108538350217077,92.143
"2980",6,11,"Tri","PlantNW-SoilNW-FungW","NW","NW","W",0.04506,3.031,0.3932,0.114598168870804,107.039
"2988",5,33,"Tri","PlantW-SoilNW-FungNW","W","NW","NW",0.03753,1.129,0.3943,0.0951813340096373,-16.53
"3004",5,21,"Tri","PlantW-SoilW-FungNW","W","W","NW",0.04545,1.662,0.3841,0.118328560270763,-14.177
"3031",4,28,"Tri","PlantNW-SoilNW-FungW","NW","NW","W",0.04122,1.611,0.356,0.115786516853933,-27.001
"3043",7,24,"Tri","PlantNW-SoilW-FungW","NW","W","W",0.04646,2.659,0.4361,0.106535198349003,123.709
"3071",7,8,"Tri","PlantW-SoilNW-FungNW","W","NW","NW",NA,NA,NA,NA,NA
"3077",5,21,"Tri","PlantW-SoilNW-FungW","W","NW","W",0.04813,1.75,0.4582,0.105041466608468,66.848
"3305",6,5,"Tri","PlantNW-SoilNW-FungW","NW","NW","W",0.05055,0.163,0.3705,0.136437246963563,-28.101
"3309",4,9,"Tri","PlantW-SoilNW-FungNW","W","NW","NW",0.05646,2.219,0.4341,0.130062197650311,-28.349
"3371",6,11,"Tri","PlantNW-SoilNW-FungNW","NW","NW","NW",0.04124,0.821,0.3698,0.111519740400216,-25.74
"3379",6,11,"Tri","PlantNW-SoilNW-FungNWsterile","NW","NW","NWsterile",0.04456,0.737,0.4355,0.10231917336395,27.701
"3427",7,35,"Tri","PlantNW-SoilW-FungNW","NW","W","NW",0.04501,1.825,0.3841,0.11718302525384,-29.076
"3526",7,35,"Tri","PlantNW-SoilW-FungNW","NW","W","NW",0.04111,1.807,0.4027,0.102085920039732,-19.159
"3563",3,4,"Tri","PlantNW-SoilW-FungW","NW","W","W",0.05144,2.681,0.4372,0.117657822506862,-15.712
"3708",4,10,"Tri","PlantNW-SoilNW-FungNW","NW","NW","NW",0.04134,0.845,0.3902,0.10594566888775,-6.222
"3829",5,33,"Tri","PlantW-SoilNW-FungNW","W","NW","NW",0.03993,1.309,0.3872,0.103125,-25.338
"4000",5,20,"Tri","PlantW-SoilW-FungW","W","W","W",0.04199,1.689,0.3863,0.108697903184054,25.017
"4081",7,18,"Tri","PlantNW-SoilW-FungNW","NW","W","NW",0.04286,1.414,0.402,0.106616915422886,-26.216
"4105",5,10,"Tri","PlantNW-SoilW-FungW","NW","W","W",0.05375,1.348,0.4471,0.120219190337732,-27.415
"4109",5,32,"Tri","PlantW-SoilW-FungW","W","W","W",0.0469,1.843,0.398,0.1178391959799,-22.194
"4149",5,13,"Tri","PlantW-SoilW-FungW","W","W","W",0.04092,2.27,0.3831,0.106812842599843,-9.417
"4177",5,14,"Tri","PlantW-SoilW-FungNW","W","W","NW",0.04697,2.68,0.411,0.114282238442822,-13.674
"4265",5,31,"Tri","PlantW-SoilW-FungW","W","W","W",0.04733,1.851,0.4105,0.115298416565164,-27.09
"4373",6,2,"Tri","PlantW-SoilNW-FungW","W","NW","W",0.04428,1.63,0.4059,0.109090909090909,54.711
"4414",5,22,"Tri","PlantNW-SoilW-FungW","NW","W","W",0.04923,0.94,0.4597,0.107091581466174,48.953
"4431",5,23,"Tri","PlantNW-SoilW-FungNW","NW","W","NW",0.05319,1.062,0.4325,0.122982658959538,-29.13
"4452",4,7,"Tri","PlantW-SoilNW-FungW","W","NW","W",0.04375,1.334,0.4183,0.104590007171886,-25.756
"4505",6,11,"Tri","PlantNW-SoilNW-FungNW","NW","NW","NW",0.04674,0.333,0.4147,0.112707981673499,-25.93
"4511",6,16,"Tri","PlantNW-SoilNW-FungNW","NW","NW","NW",0.04494,1.164,0.4173,0.107692307692308,1.64
"4543(5232)",6,16,"Tri","PlantNW-SoilW-FungW","NW","W","W",0.05492,0.845,0.4163,0.131924093202018,-24.804
"4547",5,10,"Tri","PlantNW-SoilW-FungW","NW","W","W",0.04402,1.423,0.3878,0.113512119649304,-26.992
"4576",5,21,"Tri","PlantW-SoilNW-FungNW","W","NW","NW",0.03947,1.589,0.4004,0.0985764235764236,63.459
"4582",6,11,"Tri","PlantNW-SoilW-FungNW","NW","W","NW",0.04461,1.206,0.4131,0.1079883805374,-25.021
"4712",6,2,"Tri","PlantW-SoilW-FungW","W","W","W",0.04797,0.103,0.4322,0.110990282276724,27.362
"4714",3,7,"Tri","PlantW-SoilNW-FungNW","W","NW","NW",0.0485,2.011,0.4313,0.112450730350104,-23.869
"4745",6,12,"Tri","PlantNW-SoilW-FungNW","NW","W","NW",0.03631,2.249,0.3796,0.0956533192834563,106.633
"4760",6,2,"Tri","PlantW-SoilNW-FungWsterile","W","NW","Wsterile",0.04012,1.949,0.4112,0.097568093385214,-20.502
"4934",3,23,"Tri","PlantNW-SoilW-FungNW","NW","W","NW",0.03947,1.394,0.3452,0.114339513325608,-27.098
"4942",3,27,"Tri","PlantW-SoilNW-FungW","W","NW","W",0.04094,2.686,0.3987,0.102683722096815,-25.862
"4959",5,22,"Tri","PlantNW-SoilW-FungNW","NW","W","NW",0.04414,1.883,0.405,0.108987654320988,-20.975
"4990",5,22,"Tri","PlantNW-SoilNW-FungW","NW","NW","W",0.04555,1.009,0.4241,0.107403914171186,23.903
"5031",6,28,"Tri","PlantNW-SoilNW-FungW","NW","NW","W",0.05256,1.624,0.4518,0.116334661354582,-26.732
"5040",4,20,"Tri","PlantW-SoilW-FungNW","W","W","NW",0.04221,1.279,0.3976,0.106161971830986,17.536
"5060",6,27,"Tri","PlantW-SoilW-FungWsterile","W","W","Wsterile",0.04096,0.754,0.3951,0.103669956972918,-3.724
"5115",5,19,"Tri","PlantW-SoilNW-FungW","W","NW","W",0.04231,2.052,0.3656,0.115727571115974,-26.61
"5228",5,19,"Tri","PlantW-SoilW-FungW","W","W","W",0.04284,0.793,0.4448,0.0963129496402878,73.212
"5267",6,2,"Tri","PlantW-SoilNW-FungW","W","NW","W",0.04784,2.097,0.3824,0.12510460251046,-26.187
"5381",5,10,"Tri","PlantNW-SoilNW-FungWsterile","NW","NW","Wsterile",0.04022,2.793,0.4295,0.0936437718277066,39.593
"5403",6,6,"Tri","PlantNW-SoilNW-FungW","NW","NW","W",NA,NA,NA,NA,NA
"5436",3,3,"Tri","PlantW-SoilW-FungNW","W","W","NW",0.05159,1.802,0.3909,0.131977487848555,-26.732
"5488",3,1,"Tri","PlantW-SoilNW-FungNWsterile","W","NW","NWsterile",NA,NA,NA,NA,NA
"5619",6,5,"Tri","PlantNW-SoilNW-FungW","NW","NW","W",0.04555,2.17,0.371,0.12277628032345,-17.295
"5626",6,6,"Tri","PlantNW-SoilW-FungNW","NW","W","NW",0.04188,0.551,0.3946,0.10613279270147,-21.071
"5641",6,4,"Tri","PlantNW-SoilW-FungW","NW","W","W",0.05115,1.794,0.4484,0.11407225691347,48.645
"5714",6,8,"Tri","PlantW-SoilW-FungNWsterile","W","W","NWsterile",0.05482,0.017,0.4528,0.12106890459364,-15.632
"5722",6,6,"Tri","PlantNW-SoilW-FungWsterile","NW","W","Wsterile",0.0386,1.962,0.3788,0.101900739176346,-24.367
"5742",6,3,"Tri","PlantW-SoilNW-FungNW","W","NW","NW",0.04661,0.716,0.4138,0.1126389560174,6.032
"5771",6,5,"Tri","PlantNW-SoilNW-FungNW","NW","NW","NW",0.03723,-0.545,0.3614,0.103016048699502,22.185
"5852",6,9,"Tri","PlantW-SoilW-FungNW","W","W","NW",0.04538,1.014,0.4053,0.111966444608932,-21.721
"5865",6,2,"Tri","PlantW-SoilW-FungNW","W","W","NW",0.05132,1.952,0.3974,0.129139406139909,-26.691
"5877",5,27,"Tri","PlantW-SoilW-FungNW","W","W","NW",0.04301,1.423,0.3804,0.113065194532071,-27.126
"5904",5,9,"Tri","PlantW-SoilW-FungNW","W","W","NW",0.0574,2.21,0.391,0.146803069053708,-29.147
"6507",7,12,"Tri","PlantNW-SoilNW-FungW","NW","NW","W",0.0453,1.652,0.4065,0.111439114391144,-24.234
"6558",3,22,"Tri","PlantNW-SoilNW-FungNW","NW","NW","NW",0.0418,2.06,0.3895,0.107317073170732,-14.545
"6875",5,29,"Tri","PlantNW-SoilNW-FungW","NW","NW","W",0.04129,2.583,0.3515,0.1174679943101,4.928
"6879",6,36,"Tri","PlantNW-SoilNW-FungW","NW","NW","W",0.04794,2.279,0.4007,0.119640628899426,-23.433
"6881",5,10,"Tri","PlantNW-SoilW-FungNW","NW","W","NW",0.04559,2.427,0.4136,0.110227272727273,-25.731
"6885",3,20,"Tri","PlantW-SoilW-FungW","W","W","W",0.03971,3.677,0.3315,0.119788838612368,-23.346
"6887",5,2,"Tri","PlantW-SoilNW-FungNW","W","NW","NW",0.05538,0.859,0.4231,0.130891042306783,-28.693
"6894",7,20,"Tri","PlantW-SoilNW-FungNW","W","NW","NW",0.04232,1.209,0.4367,0.0969086329287841,3.204
"7120",5,17,"Tri","PlantNW-SoilNW-FungNWsterile","NW","NW","NWsterile",0.05404,0.953,0.4199,0.128697308883067,-27.585
"7147",5,9,"Tri","PlantW-SoilNW-FungW","W","NW","W",0.04172,1.984,0.3959,0.105380146501642,-9.311
"7574",7,12,"Tri","PlantNW-SoilW-FungNW","NW","W","NW",0.04247,2.401,0.4334,0.0979926165205353,40.511
"9145",4,3,"Tri","PlantW-SoilW-FungNW","W","W","NW",0.04578,1.555,0.3987,0.114823175319789,56.386
"1184(5226)",6,2,"Tri","PlantW-SoilNW-FungNW","W","NW","NW",NA,NA,NA,NA,NA
"2996A1",7,14,"Tri","PlantW-SoilW-FungW","W","W","W",0.04593,1.972,0.478,0.0960878661087866,112.404
"2996A2",7,14,"Tri","PlantW-SoilW-FungW","W","W","W",0.04895,2.059,0.4021,0.121735886595374,-16.473
"2996A3",7,14,"Tri","PlantW-SoilW-FungW","W","W","W",0.04437,1.843,0.4221,0.105117270788913,-24.366
"4444(2988)",5,33,"Tri","PlantW-SoilW-FungWsterile","W","W","Wsterile",0.03946,2.436,0.3976,0.0992454728370221,26.165
"4777A",6,2,"Tri","PlantW-SoilNW-FungW","W","NW","W",0.046,1.277,0.3774,0.121886592474828,-26.516
"4777B",6,2,"Tri","PlantW-SoilW-FungNWsterile","W","W","NWsterile",0.05843,0.799,0.4295,0.13604190919674,-22.417
"4777C",6,2,"Tri","PlantW-SoilNW-FungNW","W","NW","NW",0.04319,1.371,0.3932,0.109842319430315,-28.346
"5229_blue",5,22,"Tri","PlantNW-SoilNW-FungNW","NW","NW","NW",0.04136,1.287,0.3935,0.105108005082592,-27.139
"5229_red",6,1,"Tri","PlantW-SoilW-FungW","W","W","W",0.03987,2.824,0.3788,0.10525343189018,-24.301
"flag1",5,14,"Tri","PlantW-SoilW-FungNW","W","W","NW",0.04537,1.844,0.3919,0.115769328910436,-3.544
"flag2",5,14,"Tri","PlantW-SoilNW-FungW","W","NW","W",0.04037,1.956,0.3725,0.108375838926174,-27.695
"flag3",5,14,"Tri","PlantW-SoilW-FungW","W","W","W",0.04675,2.792,0.3999,0.116904226056514,-25.829
