id,plot_field,subplot_field,spp,FullExpTrt,PlantGMTrt,ExpSoilSource,ExpFungSource
43,5,9,Tri,PlantW-SoilNW-FungWsterile,W,NW,Wsterile
86,5,9,Tri,PlantW-SoilNW-FungW,W,NW,W
392,3,22,Tri,PlantNW-SoilNW-FungNW,NW,NW,NW
452,3,22,Tri,PlantNW-SoilNW-FungNW,NW,NW,NW
482,5,22,Tri,PlantNW-SoilNW-FungNW,NW,NW,NW
552,3,14,Tri,PlantW-SoilW-FungNW,W,W,NW
583,3,23,Tri,PlantNW-SoilNW-FungW,NW,NW,W
614,5,11,Tri,PlantNW-SoilW-FungW,NW,W,W
632,7,8,Tri,PlantW-SoilW-FungW,W,W,W
684,6,2,Tri,PlantW-SoilNW-FungNW,W,NW,NW
762,6,2,Tri,PlantW-SoilNW-FungNWsterile,W,NW,NWsterile
774,3,20,Tri,PlantW-SoilNW-FungNW,W,NW,NW
827,4,9,Tri,PlantW-SoilNW-FungNW,W,NW,NW
902,3,7,Tri,PlantW-SoilW-FungNW,W,W,NW
916,3,16,Tri,PlantNW-SoilW-FungNWsterile,NW,W,NWsterile
955,3,8,Tri,PlantW-SoilNW-FungW,W,NW,W
972,7,11,Tri,PlantNW-SoilW-FungW,NW,W,W
978,6,6,Tri,PlantNW-SoilNW-FungNW,NW,NW,NW
989,4,13,Tri,PlantW-SoilW-FungNW,W,W,NW
1374,5,10,Tri,PlantNW-SoilNW-FungW,NW,NW,W
1647,7,11,Tri,PlantNW-SoilNW-FungW,NW,NW,W
1666,3,27,Tri,PlantW-SoilNW-FungW,W,NW,W
1669,7,11,Tri,PlantNW-SoilNW-FungNW,NW,NW,NW
1686,3,6,Tri,PlantNW-SoilW-FungNW,NW,W,NW
1750,5,20,Tri,PlantW-SoilW-FungW,W,W,W
1827,7,8,Tri,PlantW-SoilNW-FungNW,W,NW,NW
1851,7,8,Tri,PlantW-SoilW-FungNW,W,W,NW
1926,3,5,Tri,PlantNW-SoilW-FungW,NW,W,W
1975,7,18,Tri,PlantNW-SoilW-FungW,NW,W,W
2074,6,16,Tri,PlantNW-SoilNW-FungNW,NW,NW,NW
2131,7,11,Tri,PlantNW-SoilW-FungW,NW,W,W
2276,6,22,Tri,PlantNW-SoilW-FungWsterile,NW,W,Wsterile
2289,7,11,Tri,PlantNW-SoilW-FungNW,NW,W,NW
2329,3,20,Tri,PlantW-SoilW-FungW,W,W,W
2379,7,23,Tri,PlantNW-SoilW-FungW,NW,W,W
2382,7,23,Tri,PlantNW-SoilNW-FungNW,NW,NW,NW
2416,3,17,Tri,PlantNW-SoilW-FungNWsterile,NW,W,NWsterile
2547,5,19,Tri,PlantW-SoilNW-FungW,W,NW,W
2563,5,16,Tri,PlantNW-SoilNW-FungW,NW,NW,W
2573,5,31,Tri,PlantW-SoilNW-FungW,W,NW,W
2703,4,8,Tri,PlantW-SoilNW-FungW,W,NW,W
2886,7,24,Tri,PlantNW-SoilW-FungNW,NW,W,NW
2912,5,11,Tri,PlantNW-SoilNW-FungWsterile,NW,NW,Wsterile
2927,7,14,Tri,PlantW-SoilW-FungNW,W,W,NW
2941,6,6,Tri,PlantNW-SoilW-FungW,NW,W,W
2980,6,11,Tri,PlantNW-SoilNW-FungW,NW,NW,W
2988,5,33,Tri,PlantW-SoilNW-FungNW,W,NW,NW
3004,5,21,Tri,PlantW-SoilW-FungNW,W,W,NW
3031,4,28,Tri,PlantNW-SoilNW-FungW,NW,NW,W
3043,7,24,Tri,PlantNW-SoilW-FungW,NW,W,W
3071,7,8,Tri,PlantW-SoilNW-FungNW,W,NW,NW
3077,5,21,Tri,PlantW-SoilNW-FungW,W,NW,W
3305,6,5,Tri,PlantNW-SoilNW-FungW,NW,NW,W
3309,4,9,Tri,PlantW-SoilNW-FungNW,W,NW,NW
3371,6,11,Tri,PlantNW-SoilNW-FungNW,NW,NW,NW
3379,6,11,Tri,PlantNW-SoilNW-FungNWsterile,NW,NW,NWsterile
3427,7,35,Tri,PlantNW-SoilW-FungNW,NW,W,NW
3526,7,35,Tri,PlantNW-SoilW-FungNW,NW,W,NW
3563,3,4,Tri,PlantNW-SoilW-FungW,NW,W,W
3708,4,10,Tri,PlantNW-SoilNW-FungNW,NW,NW,NW
3829,5,33,Tri,PlantW-SoilNW-FungNW,W,NW,NW
4000,5,20,Tri,PlantW-SoilW-FungW,W,W,W
4081,7,18,Tri,PlantNW-SoilW-FungNW,NW,W,NW
4105,5,10,Tri,PlantNW-SoilW-FungW,NW,W,W
4109,5,32,Tri,PlantW-SoilW-FungW,W,W,W
4149,5,13,Tri,PlantW-SoilW-FungW,W,W,W
4177,5,14,Tri,PlantW-SoilW-FungNW,W,W,NW
4265,5,31,Tri,PlantW-SoilW-FungW,W,W,W
4373,6,2,Tri,PlantW-SoilNW-FungW,W,NW,W
4414,5,22,Tri,PlantNW-SoilW-FungW,NW,W,W
4431,5,23,Tri,PlantNW-SoilW-FungNW,NW,W,NW
4452,4,7,Tri,PlantW-SoilNW-FungW,W,NW,W
4505,6,11,Tri,PlantNW-SoilNW-FungNW,NW,NW,NW
4511,6,16,Tri,PlantNW-SoilNW-FungNW,NW,NW,NW
4543(5232),6,16,Tri,PlantNW-SoilW-FungW,NW,W,W
4547,5,10,Tri,PlantNW-SoilW-FungW,NW,W,W
4576,5,21,Tri,PlantW-SoilNW-FungNW,W,NW,NW
4582,6,11,Tri,PlantNW-SoilW-FungNW,NW,W,NW
4712,6,2,Tri,PlantW-SoilW-FungW,W,W,W
4714,3,7,Tri,PlantW-SoilNW-FungNW,W,NW,NW
4745,6,12,Tri,PlantNW-SoilW-FungNW,NW,W,NW
4760,6,2,Tri,PlantW-SoilNW-FungWsterile,W,NW,Wsterile
4934,3,23,Tri,PlantNW-SoilW-FungNW,NW,W,NW
4942,3,27,Tri,PlantW-SoilNW-FungW,W,NW,W
4959,5,22,Tri,PlantNW-SoilW-FungNW,NW,W,NW
4990,5,22,Tri,PlantNW-SoilNW-FungW,NW,NW,W
5031,6,28,Tri,PlantNW-SoilNW-FungW,NW,NW,W
5040,4,20,Tri,PlantW-SoilW-FungNW,W,W,NW
5060,6,27,Tri,PlantW-SoilW-FungWsterile,W,W,Wsterile
5115,5,19,Tri,PlantW-SoilNW-FungW,W,NW,W
5228,5,19,Tri,PlantW-SoilW-FungW,W,W,W
5267,6,2,Tri,PlantW-SoilNW-FungW,W,NW,W
5381,5,10,Tri,PlantNW-SoilNW-FungWsterile,NW,NW,Wsterile
5403,6,6,Tri,PlantNW-SoilNW-FungW,NW,NW,W
5436,3,3,Tri,PlantW-SoilW-FungNW,W,W,NW
5488,3,1,Tri,PlantW-SoilNW-FungNWsterile,W,NW,NWsterile
5619,6,5,Tri,PlantNW-SoilNW-FungW,NW,NW,W
5626,6,6,Tri,PlantNW-SoilW-FungNW,NW,W,NW
5641,6,4,Tri,PlantNW-SoilW-FungW,NW,W,W
5714,6,8,Tri,PlantW-SoilW-FungNWsterile,W,W,NWsterile
5722,6,6,Tri,PlantNW-SoilW-FungWsterile,NW,W,Wsterile
5742,6,3,Tri,PlantW-SoilNW-FungNW,W,NW,NW
5771,6,5,Tri,PlantNW-SoilNW-FungNW,NW,NW,NW
5852,6,9,Tri,PlantW-SoilW-FungNW,W,W,NW
5865,6,2,Tri,PlantW-SoilW-FungNW,W,W,NW
5877,5,27,Tri,PlantW-SoilW-FungNW,W,W,NW
5904,5,9,Tri,PlantW-SoilW-FungNW,W,W,NW
6507,7,12,Tri,PlantNW-SoilNW-FungW,NW,NW,W
6558,3,22,Tri,PlantNW-SoilNW-FungNW,NW,NW,NW
6875,5,29,Tri,PlantNW-SoilNW-FungW,NW,NW,W
6879,6,36,Tri,PlantNW-SoilNW-FungW,NW,NW,W
6881,5,10,Tri,PlantNW-SoilW-FungNW,NW,W,NW
6885,3,20,Tri,PlantW-SoilW-FungW,W,W,W
6887,5,2,Tri,PlantW-SoilNW-FungNW,W,NW,NW
6894,7,20,Tri,PlantW-SoilNW-FungNW,W,NW,NW
7120,5,17,Tri,PlantNW-SoilNW-FungNWsterile,NW,NW,NWsterile
7147,5,9,Tri,PlantW-SoilNW-FungW,W,NW,W
7574,7,12,Tri,PlantNW-SoilW-FungNW,NW,W,NW
9145,4,3,Tri,PlantW-SoilW-FungNW,W,W,NW
1184(5226),6,2,Tri,PlantW-SoilNW-FungNW,W,NW,NW
2996A1,7,14,Tri,PlantW-SoilW-FungW,W,W,W
2996A2,7,14,Tri,PlantW-SoilW-FungW,W,W,W
2996A3,7,14,Tri,PlantW-SoilW-FungW,W,W,W
4444(2988),5,33,Tri,PlantW-SoilW-FungWsterile,W,W,Wsterile
4777A,6,2,Tri,PlantW-SoilNW-FungW,W,NW,W
4777B,6,2,Tri,PlantW-SoilW-FungNWsterile,W,W,NWsterile
4777C,6,2,Tri,PlantW-SoilNW-FungNW,W,NW,NW
5229_blue,5,22,Tri,PlantNW-SoilNW-FungNW,NW,NW,NW
5229_red,6,1,Tri,PlantW-SoilW-FungW,W,W,W
flag1,5,14,Tri,PlantW-SoilW-FungNW,W,W,NW
flag2,5,14,Tri,PlantW-SoilNW-FungW,W,NW,W
flag3,5,14,Tri,PlantW-SoilW-FungW,W,W,W